channel,tvg_id,group,working,reason,seconds,host,url
9X Jalwa (576p),9XJalwa.in,IN Music,no,HTTP 404,0.7,tvsen6.aynaott.com,https://tvsen6.aynaott.com/CiPT1VTG8bVekeAZiibd/index.m3u8
9XM (1080p),9XM.in,IN Music,no,HTTP 404,1.1,epiconvh.akamaized.net,https://epiconvh.akamaized.net/live/9XM/master.m3u8
ARY Musik (1080p),ARYMusik.pk,PK Music,no,HTTP 403,0.5,arymusik.aryzap.com,https://arymusik.aryzap.com/3fd38b2c62d0c3bbd74aedabb533c03a/6459fa78/v1/01847ac7a4930b8ed5aa6ed04aba/01847ac8f5f70b8ed5aa6ed04abd/main.m3u8
B4U Music (576p),B4UMusic.in,IN Music,no,HTTP 404,10.7,tvsen3.aynaott.com,https://tvsen3.aynaott.com/8m7Vmh3K/index.m3u8
Balle Balle HD (720p),BalleBalle.in@HD,IN Music,no,segment HTTP 404,0.7,mcncdndigital.com,https://mcncdndigital.com/balleballetv/index.m3u8
Dhamaal (576p),Dhamaal.in,IN Music,no,HTTP 404,10.7,tvsen6.aynaott.com,https://tvsen6.aynaott.com/F4Z6es8E/index.m3u8
Dhool TV (576p),DhoolTV.in,IN Music,no,HTTP 404,10.9,mumt04.tangotv.in,https://mumt04.tangotv.in/m18aqlK4SUBHARTITV/index.m3u8
ETV Music (1080p),ETVMusic.in,IN Music,no,HTTP 404,1.0,mumbai-edge.smartplaytv.in,https://mumbai-edge.smartplaytv.in/ETVABHIRUCHI/index.m3u8
Jalwa TV,JalwaTV.pk,PK Music,no,unreachable ([Errno 111] Connection refused) after 3 tries,0.8,119.156.228.231:9983,http://119.156.228.231:9983/stream/channelid/1893273325?profile=pass&ticket=B3DB50D5930411D593B973B8404789C46D3559B8
Mastiii (576p),Mastiii.in,IN Music,no,HTTP 404,10.7,tvsen3.aynaott.com,https://tvsen3.aynaott.com/er7jmpVF/index.m3u8
Music India (576p),MusicIndia.in,IN Music,no,HTTP 404,10.7,tvsen3.aynaott.com,https://tvsen3.aynaott.com/Ydvf4ppw/index.m3u8
PTC Music,PTCMusic.in,IN Music,no,segment HTTP 404,1.9,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/1501/master.m3u8
Public Music (576p),PublicMusic.in,IN Music,no,HTTP 404,11.0,mumbai-edge.smartplaytv.in,https://mumbai-edge.smartplaytv.in/publicmusickannada/index.m3u8
Sangeet Bangla (576p),SangeetBangla.in,IN Music,no,HTTP 404,0.7,tvsen6.aynaott.com,https://tvsen6.aynaott.com/hT5jHczt/index.m3u8
Shemaroo Filmi Gaane (1080p),ShemarooFilmiGaane.in,IN Music,no,HTTP 403,0.0,prod-runn.cdn.runn.tv,https://prod-runn.cdn.runn.tv/shemaroo/stream/smrfgn/playlist.m3u8
Tunes 6 (720p),Tunes6.in,IN Music,no,HTTP 404,13.0,stream.d6-pro.com,https://stream.d6-pro.com/tunes6music/live/video.m3u8
Ultimate TV (576p),UltimateTV.in,IN Music,no,HTTP 404,1.0,mumbai-edge.smartplaytv.in,https://mumbai-edge.smartplaytv.in/utv/index.m3u8
Vijay Takkar APAC (1080p),VijayTakkar.in@APAC,IN Music,no,too little data after 3 tries,1.3,tglmp01.akamaized.net,https://tglmp01.akamaized.net/out/v1/c1071012b73f4f189b202e1529e8f802/manifest.mpd
YRF Music (1080p),YRFMusic.in,IN Music,no,unreachable ([Errno -5] No address associated with ho) after 3 tries,0.1,d14c63magvk61v.cloudfront.net,https://d14c63magvk61v.cloudfront.net/strm/channels/yrfmusic/master.m3u8
Zing! (576p),Zing.in,IN Music,no,unreachable (timed out) after 3 tries,36.0,103.72.101.252:8080,http://103.72.101.252:8080/live/585.m3u8
Zoom Global (720p),Zoom.in@Global,IN Music,no,unreachable ([Errno -5] No address associated with ho) after 3 tries,0.1,d14c63magvk61v.cloudfront.net,https://d14c63magvk61v.cloudfront.net/strm/channels/zoom/master.m3u8
